timestamp;instituicao;dominio_FML;localidade_FML;dominio_INF;localidade_INF;local;entidade;codigo;descricao;mail;TMA;t_maxAtendimento;TME;t_maxEspera;encerrada_normal;encerrada_prioritario;encerrada_rechamada;total;encerrada_desistencia;num_dias;TMA_total_segundos;TME_total_segundos
20231211122716;IRN;AVEIRO;ÁGUEDA;Aveiro;Águeda;CRC Águeda;REGISTOS;A;Cartão de Cidadão - Pedido/Renovação;--;17;26;0;0;5;0;0;5;0;1;85;0
20231211122716;IRN;AVEIRO;ÁGUEDA;Aveiro;Águeda;CRC Águeda;REGISTOS;B;Cartão de Cidadão - Levantamento;--;11;13;0;0;3;0;0;3;0;1;33;0
20231211122716;IRN;AVEIRO;ÁGUEDA;Aveiro;Águeda;CRC Águeda;REGISTOS;C;Cartão de Cidadão - Outros;--;13;13;0;0;1;0;0;1;0;1;13;0
20231211122716;IRN;AVEIRO;ÁGUEDA;Aveiro;Águeda;CRC Águeda;REGISTOS;D;Passaporte - Pedido;--;13;15;0;0;4;0;0;4;0;1;52;0
20231211122716;IRN;AVEIRO;ÁGUEDA;Aveiro;Águeda;CRC Águeda;REGISTOS;E;Passaporte - Levantamento / Inf.;--;24;34;0;0;4;0;0;4;0;1;96;0
20231211122716;IRN;AVEIRO;ALBERGARIA-A-VELHA;Aveiro;Albergaria-a-Velha;CRCPComAut Albergaria-a-Velha;REGISTOS;A;Cartão de Cidadão - Pedido/Renovação;--;248;2888;0;0;34;0;0;34;0;1;8432;0
20231211122716;IRN;AVEIRO;ALBERGARIA-A-VELHA;Aveiro;Albergaria-a-Velha;CRCPComAut Albergaria-a-Velha;REGISTOS;F;Registo Civil - Certidões / Inf.;--;798;798;0;0;1;0;0;1;0;1;798;0
20231211122716;IRN;AVEIRO;ALBERGARIA-A-VELHA;Aveiro;Albergaria-a-Velha;CRCPComAut Albergaria-a-Velha;REGISTOS;M;Registo Predial - Certidões / Inf. ;--;9;11;0;0;2;0;0;2;0;1;18;0
20231211122716;IRN;AVEIRO;ALBERGARIA-A-VELHA;Aveiro;Albergaria-a-Velha;CRCPComAut Albergaria-a-Velha;REGISTOS;N;Registo Predial - Pedido;--;25;35;0;0;3;0;0;3;0;1;75;0
20231211122716;IRN;AVEIRO;ALBERGARIA-A-VELHA;Aveiro;Albergaria-a-Velha;CRCPComAut Albergaria-a-Velha;REGISTOS;R;Registo veículos - Pedido;--;18;40;0;0;5;0;0;5;0;1;90;0
20231211122716;IRN;AVEIRO;AROUCA;Aveiro;Arouca;CRCPCom Arouca;REGISTOS;A;Cartão de Cidadão - Pedido/Renovação;--;9;11;0;0;2;0;0;2;0;1;18;0
20231211122716;IRN;AVEIRO;AROUCA;Aveiro;Arouca;CRCPCom Arouca;REGISTOS;B;Cartão de Cidadão - Levantamento;--;12;17;0;0;3;0;0;3;0;1;36;0
20231211122716;IRN;AVEIRO;AROUCA;Aveiro;Arouca;CRCPCom Arouca;REGISTOS;C;Cartão de Cidadão - Outros;--;12;21;0;0;32;0;0;32;0;1;384;0
20231211122716;IRN;AVEIRO;AROUCA;Aveiro;Arouca;CRCPCom Arouca;REGISTOS;D;Passaporte - Pedido;--;25;25;0;0;1;0;0;1;0;1;25;0
20231211122716;IRN;AVEIRO;AROUCA;Aveiro;Arouca;CRCPCom Arouca;REGISTOS;F;Registo Civil - Certidões / Inf.;--;12;17;0;0;6;0;0;6;0;1;72;0
20231211122716;IRN;AVEIRO;AROUCA;Aveiro;Arouca;CRCPCom Arouca;REGISTOS;M;Registo Predial - Certidões / Inf. ;--;313;619;0;0;2;0;0;2;0;1;626;0
20231211122716;IRN;AVEIRO;AROUCA;Aveiro;Arouca;CRCPCom Arouca;REGISTOS;N;Registo Predial - Pedido;--;1525;2136;0;0;2;0;0;2;0;1;3050;0
20231211122716;IRN;AVEIRO;AROUCA;Aveiro;Arouca;CRCPCom Arouca;REGISTOS;Q;Registo veículos - Certidões / Inf.;--;293;578;0;0;2;0;0;2;0;1;586;0
20231211122716;IRN;AVEIRO;AROUCA;Aveiro;Arouca;CRCPCom Arouca;REGISTOS;R;Registo veículos - Pedido;--;812;1524;0;0;9;0;0;9;0;1;7308;0
20231211122716;IRN;AVEIRO;AVEIRO;Aveiro;Aveiro;1º Cartório Notarial de Competência Especializada de Aveiro;REGISTOS;A;Cartão de Cidadão - Pedido/Renovação;--;746;746;0;0;1;0;0;1;0;1;746;0
20231211122716;IRN;AVEIRO;AVEIRO;Aveiro;Aveiro;1º Cartório Notarial de Competência Especializada de Aveiro;REGISTOS;C;Cartão de Cidadão - Outros;--;582;782;0;0;2;0;0;2;0;1;1164;0
20231211122716;IRN;AVEIRO;AVEIRO;Aveiro;Aveiro;1º Cartório Notarial de Competência Especializada de Aveiro;REGISTOS;D;Passaporte - Pedido;--;746;746;0;0;1;0;0;1;0;1;746;0
20231211122716;IRN;AVEIRO;AVEIRO;Aveiro;Aveiro;1º Cartório Notarial de Competência Especializada de Aveiro;REGISTOS;E;Passaporte - Levantamento / Inf.;--;307;483;0;0;2;0;0;2;0;1;614;0
20231211122716;IRN;AVEIRO;AVEIRO;Aveiro;Aveiro;1º Cartório Notarial de Competência Especializada de Aveiro;REGISTOS;V;Empresa na Hora / Marca / Associação / Cooperativa / Sucursal na Hora;--;598;598;0;0;1;0;0;1;0;1;598;0
20231211122716;IRN;AVEIRO;AVEIRO;Aveiro;Aveiro;1º Cartório Notarial de Competência Especializada de Aveiro;REGISTOS;Z; Certificados /Traduções / Procurações/ Reconhecimentos / Fotocópias/ Instrumentos/ Outros;--;948;1033;0;0;3;0;0;3;0;1;2844;0
20231211122716;IRN;AVEIRO;AVEIRO;Aveiro;Aveiro;CRC Aveiro;REGISTOS;A;Cartão de Cidadão - Pedido/Renovação;--;1031;3920;30;111;5;2;0;7;0;1;7217;210
20231211122716;IRN;AVEIRO;AVEIRO;Aveiro;Aveiro;CRC Aveiro;REGISTOS;B;Cartão de Cidadão - Levantamento;--;88;145;64;111;2;0;0;2;0;1;176;128
20231211122716;IRN;AVEIRO;AVEIRO;Aveiro;Aveiro;CRC Aveiro;REGISTOS;C;Cartão de Cidadão - Outros;--;467;1359;463;1156;3;0;0;3;0;1;1401;1389
20231211122716;IRN;AVEIRO;AVEIRO;Aveiro;Aveiro;CRC Aveiro;REGISTOS;D;Passaporte - Pedido;--;1166;1166;3;3;1;0;0;1;0;1;1166;3
20231211122716;IRN;AVEIRO;AVEIRO;Aveiro;Aveiro;CRC Aveiro;REGISTOS;E;Passaporte - Levantamento / Inf.;--;760;760;3;3;1;0;0;1;0;1;760;3
20231211122716;IRN;AVEIRO;AVEIRO;Aveiro;Aveiro;CRC Aveiro;REGISTOS;F;Registo Civil - Certidões / Inf.;--;148;329;1724;2946;4;0;0;4;0;1;592;6896
20231211122716;IRN;AVEIRO;AVEIRO;Aveiro;Aveiro;CRC Aveiro;REGISTOS;G;Registo Civil - Nascimento;--;816;2005;1234;3045;6;1;0;7;0;1;5712;8638
